name	x	y	z
LT2H1	-1.6853	-57.238	0.029
LT2H2	-0.9956	-56.694	0.4884
LT2H3	-0.8554	-55.356	0.3061
LT2H4	0.6093	-54.551	0.186
LT2H5	6.1707	-54.693	0.5459
LT2H6	-7.079	-63.877	6.5945
LT2H7	-8.266	-65.041	10.6862
LT2H8	-8.9346	-65.238	12.4937
LT2H9	-0.9601	-41.496	40.5405
LT2H10	-1.5571	-43.107	40.6484
LT2H11	-2.9125	-44.886	40.7509
LT2H12	-3.8882	-46.37	40.7282
LT2H13	-4.326	-47.645	40.6171
LT2H14	-12.5611	-50.217	40.1635
LT2H15	-9.2762	-50.567	40.191
LT2H16	-10.1115	-50.107	40.299
LT1A1	17.4044	-62.88	0.6011
LT1A2	17.961	-63.196	0.3844
LT1A3	25.6046	-61.728	0.4177
LT1A4	28.1616	-60.329	0.8204
LT1A5	27.2969	-59.085	0.3608
LT1A6	36.5513	-52.468	11.7419
LT1A7	32.4762	-48.53	16.88
LT1A8	31.7406	-48.761	17.6925
LT1A9	8.9387	-46.438	38.0487
LT1A10	10.1595	-47.982	37.6094
LT1A11	10.1811	-44.807	37.3313
LT1A12	8.7501	-39.241	36.6649
LT1A13	8.8644	-38.783	36.4089
LT1A14	7.7752	-35.551	35.5314
LF3aOFa1	90.8059	-45.259	6.6539
LF3aOFa2	94.0418	-43.021	2.0138
LF3aOFa3	94.1487	-42.53	0.1686
LF3aOFa4	88.6026	-44.187	0.6206
LF3aOFa5	88.9724	-42.436	0.2222
LF3aOFa6	86.8413	-42.581	0.6468
LF3aOFa7	88.6596	-34.294	7.9862
LF3aOFa8	67.5043	-30.242	12.5661
LF3aOFa9	70.4883	-28.928	13.9307
LF3aOFa10	71.9312	-24.018	17.0742
LF3aOFa11	73.3602	-22.211	18.1866
LF3aOFa12	76.0243	-17.872	19.6882
LF3aOFa13	75.3125	-18.594	19.5895
LF3aOFa14	74.1285	-16.067	20.4416
LF3aOFa15	74.1285	-16.067	20.4416
LF3cIc1	30.6337	-28.156	14.5329
LF3cIc2	33.1875	-26.345	13.5566
LF3cIc3	28.5635	-8.544	25.4387
LF3cIc4	28.5635	-8.544	25.4387
LF3cIc5	25.9026	-6.991	29.7526
LF3cIc6	26.2991	-6.461	31.0539
LF3cIc7	24.8408	-5.41	33.1295
LF3cIc8	24.2103	-4.237	34.8669
LF3cIc9	22.4558	-2.57	36.5277
LF3cIc10	22.3381	-1.308	37.2152
LF3bOFb1	70.1875	-48.687	5.9217
LF3bOFb2	69.086	-49.641	3.9257
LF3bOFb3	64.8839	-50.655	1.268
LF3bOFb4	73.0149	-49.692	0.4353
LF3bOFb5	71.824	-49.39	0.4218
LF3bOFb6	76.6094	-46.689	0.0286
LF3bOFb7	76.6908	-45.92	0.4719
LF3bOFb8	54.3145	-39.721	7.5792
LF3bOFb9	59.3289	-37.354	8.2791
LF3bOFb10	62.7111	-36.776	8.6533
LF3bOFb11	65.827	-17.263	19.9434
LF3bOFb12	69.8191	-10.364	22.0678
LF3bOFb13	69.8191	-10.364	22.0678
LF3bOFb14	65.7821	-7.837	22.9769
LF3bOFb15	64.1807	-6.457	23.3121
LF3bOFb16	60.0167	-6.223	24.0583
LF2b1	84.7495	-14.464	3.2886
LF2b2	85.5153	-14.967	3.1319
LF2b3	91.9782	-14.959	1.4481
LF2b4	91.9782	-14.959	1.4481
LF2b5	91.2847	-14.474	1.6277
LF2b6	101.9604	-6.943	0.0302
LF2b7	100.8219	-2.575	0.6872
LF2b8	96.9252	-2.776	0.8864
LF2b9	95.0512	-2.243	2.9246
LF2b10	94.5904	-2.267	3.4919
LF2b11	92.0416	1.685	4.0945
LF2b12	90.9687	2.324	4.893
LF2b13	90.3614	2.971	5.1447
LF2b14	88.5869	1.7	7.791
LF2e1	45.0331	20.734	21.9946
LF2e2	44.1289	22.253	21.8032
LF2e3	40.2201	26.056	21.8729
LF2e4	42.4439	30.185	19.1445
LF2e5	41.3147	32.955	18.0725
LF2e6	37.5539	36.899	16.9689
LF2e7	42.6076	38.185	13.503
LF2e8	37.351	40.081	14.3334
LF2c1	46.1348	12.76	24.2445
LF2c2	52.9979	15.44	20.8919
LF2c3	54.8817	14.904	20.4341
LF2c4	57.3849	14.502	19.7094
LF2c5	65.3094	9.63	18.7278
LF2c6	67.0323	11.74	17.1345
LF2c7	69.3167	13.262	15.3679
LF2c8	67.814	17.986	13.6359
LF2d1	41.5284	13.867	25.8134
LF2d2	40.2234	10.447	27.5534
LF2d3	38.2066	9.134	28.9743
LF2d4	35.0515	10.102	30.3158
LF2d5	31.9158	11.074	31.677
LF2d6	30.585	9.522	32.9331
LF2d7	29.6456	8.899	33.6392
LF2d8	28.1237	9.132	34.3741
LF2aIa1	44.0129	-43.576	9.0405
LF2aIa2	45.413	-42.548	8.7868
LF2aIa3	47.4804	-39.878	8.9395
LF2aIa4	49.1195	-35.411	9.723
LF2aIa5	50.2665	-35.201	9.5986
LF2aIa6	58.848	-20.444	15.8919
LF2aIa7	58.0043	-22.342	14.4364
LF2aIa8	58.4196	-23.141	14.0885
LF2aIa9	93.011	6.377	0.3668
LF2aIa10	92.647	11.344	0.0221
LF2aIa11	92.0333	12.802	0.5847
LF2aIa12	89.607	18.303	0.2837
LF2aIa13	89.6902	19.847	0.2375
LF2aIa14	90.0801	20.07	0.0734
LF2aIa15	87.4231	25.23	3.0657
LF2aIa16	88.6352	24.277	3.6033
LF1aCaOF1	55.6656	-44.711	1.9414
LF1aCaOF2	60.6046	-43.705	2.6105
LF1aCaOF3	64.6008	-40.766	4.0099
LF1aCaOF4	63.5871	-32.822	6.6923
LF1aCaOF5	67.9495	-29.348	6.535
LF1aCaOF6	67.48	-20.928	7.1381
LF1aCaOF7	68.651	-13.96	6.7446
LF1aCaOF8	76.0063	-5.138	4.4357
LF1aCaOF9	77.3346	-0.473	3.5921
LF1aCaOF10	78.0589	4.36	2.8043
LF1aCaOF11	85.2622	11.868	0.4445
LF1aCaOF12	88.4369	11.759	9.7008
LF1aCaOF13	85.6764	20.555	8.797
LF1aCaOF14	92.541	22.421	9.5934
LF1aCaOF15	92.0084	23.093	1.4715
LF1aCaOF16	85.4216	30.569	0.8251
LF1bIb1	39.9859	-46.181	10.5378
LF1bIb2	41.3583	-36.589	11.4597
LF1bIb3	41.1644	-34.623	11.6496
LF1bIb4	40.5208	-31.682	11.9335
LF1bIb5	39.4245	-12.445	18.4914
