,word_idx,word,onset,offset,pos,is_content,pos_class,entropy,true_prob,surprise,surprise_class,sentence_idx
0,0,Act,3.71,3.79,VB,1,1,2.402717,1.2075547e-05,16.337551932471957,2,-1
1,1,"one,",3.99,4.19,CD,0,4,3.732053,2.0367259350049598e-05,15.583388612351138,2,-1
2,2,monkey,4.651,4.931,NN,1,0,6.6212687,1.8053552e-05,15.757357762053491,2,-1
3,3,in,4.951,5.011,IN,0,4,4.4448376,0.0042370204,7.882734209793661,1,-1
4,4,the,5.051,5.111,DT,0,4,3.7816224,0.39220536,1.3503188429050332,1,-1
5,5,middle.,5.151,5.391,JJ,1,2,5.194291,0.0245964447507334,5.345406390924007,1,-1
6,6,So,6.592,6.731999999999999,RB,1,3,5.6967106,0.0015628004,9.321650754768878,1,0
7,7,there's,6.752,6.911999999999999,EX,0,4,4.845641,0.0023597857547365602,8.727128401604574,1,0
8,8,some,6.892,7.052,DT,0,4,4.178666,0.012233999,6.352960126511475,1,0
9,9,places,7.071999999999999,7.342,NNS,1,0,7.3225117,0.00024336006,12.004619965680403,2,0
10,10,where,7.401999999999999,7.502,WRB,0,4,2.8260312,0.31081828,1.6858567401449023,1,0
11,11,animals,7.542,7.782,NNS,1,0,3.6278214,0.00056240556,10.796101522434917,1,0
12,12,almost,7.901999999999999,8.081999999999999,RB,1,3,3.999353,0.00019433942,12.329133811254946,2,0
13,13,never,8.161999999999999,8.411999999999999,RB,1,3,5.587469,0.044845928,4.478879195062898,1,0
14,14,go,8.452,8.681999999999999,VBP,1,1,5.1841364,0.043899186,4.509662000917301,1,0
15,15,places,9.572,9.862,NNS,1,0,2.3436918,2.469777e-05,15.305259689921606,2,0
16,16,that,9.862,9.932,WDT,0,4,3.2200117,0.11590176,3.1090256206569284,1,0
17,17,are,9.992,10.042,VBP,1,1,2.9860466,0.0768146,3.702475642555694,1,0
18,18,designed,10.042,10.611999999999998,VBN,1,1,5.672429,0.0014920961,9.388443827803112,1,0
19,19,by,10.732,10.962,IN,0,4,1.476948,0.026060631,5.2619841738061375,1,0
20,20,humans,11.002,11.582,NNS,1,0,3.0895753,0.48350704,1.0483911989822547,0,0
21,21,for,11.692,11.882,IN,0,4,1.9790998,0.040021613,4.6430768760991326,1,0
22,22,humans,11.942,12.492,NNS,1,0,2.2317996,0.06777679,3.8830648793137783,1,0
23,23,This,13.092,13.312,DT,0,4,1.7195618,7.750488e-06,16.977281418548248,2,1
24,24,act,13.392,13.712,NN,1,0,3.7204642,0.00043908926,11.153198132569017,1,1
25,25,ends,14.142,14.372,VBZ,1,1,3.4961016,0.00083672715,10.22295513134521,1,1
26,26,up,14.432,14.532,RP,0,4,2.5095477,0.049743146,4.329358436239402,1,1
27,27,in,14.572,14.602,IN,0,4,4.7969837,0.028498726,5.13295876293819,1,1
28,28,a,14.622,14.652,DT,0,4,4.839267,0.24172445,2.0485646883550555,1,1
29,29,place,14.672,14.872,NN,1,0,5.9043293,0.04478825,4.480735892539469,1,1
30,30,like,14.872,15.012,IN,0,4,1.7773485,0.025928073,5.269341202119967,1,1
31,31,that,15.012,15.322,DT,0,4,5.6190214,0.026261142,5.250926534704889,1,1
32,32,but,16.122,16.392,CC,0,4,3.7080252,0.003954493,7.982291544015243,1,1
33,33,it,16.442,16.492,PRP,0,4,4.2540836,0.20033461,2.319516410821142,1,1
34,34,starts,16.552,16.802,VBZ,1,1,2.7260356,0.0016045182,9.283644130504612,1,1
35,35,about,16.822,16.972,IN,0,4,3.273964,0.0009265908,10.075780021439293,1,1
36,36,as,16.972,17.052,RB,1,3,4.8326693,0.035962377,4.797367808166603,1,1
37,37,far,17.092,17.232,RB,1,3,4.5730753,0.20764926,2.267779364450118,1,1
38,38,from,17.291999999999998,17.412,IN,0,4,2.0907998,0.35760087,1.4835778484579696,1,1
39,39,there,17.432,17.562,RB,1,3,3.344747,0.12693793,2.97780487325364,1,1
40,40,as,17.562,17.652,IN,0,4,0.5611111,0.9177404,0.1238419767582143,0,1
41,41,you,17.712,17.782,PRP,0,4,2.4314837,0.2015326,2.3109148662870673,1,1
42,42,can,17.782,17.902,MD,0,4,0.48775014,0.89753085,0.15596656667356618,0,1
43,43,get,17.902,18.162,VB,1,1,1.4559929,0.71910006,0.4757355648041096,0,1
44,44,Dana,19.052,19.242,NNP,1,0,3.4825284,7.059349e-07,20.433961517227214,2,2
45,45,Chivvis,19.242,19.542,NNP,1,0,6.5046825,5.239464452510973e-05,14.220221119008473,2,2
46,46,explains,19.562,20.072,VBZ,1,1,5.0551734,0.001079277,9.855719099873964,1,2
47,47,Our,21.2339279296875,21.3239279296875,PRP$,0,4,4.010397,7.074242e-05,13.787064901958884,2,3
